Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
14,25,28,3.1,45,87,21,19,11,28.9,3,13.5,44,Dec 31 2018,New Orleans Pelicans,9,28,29,14.5,43,93,23,19,12,26.7,10,6.4,39,["Keita Bates-Diop"|"Derrick Rose"|"Jeff Teague"|"C.J. Williams"|"Trevon Bluiett"|"Ian Clark"|"Andrew Harrison"|"Frank Jackson"|"Wesley Johnson"|"Nikola Mirotic"|"Kenrich Williams"],["Derrick Collins"|"Kane Fitzgerald"|"Jason Goldenberg"],Minnesota Timberwolves,123,114
6,24,22,8.3,46,103,35,24,11,20.0,13,7.8,46,Dec 31 2018,Oklahoma City Thunder,14,38,21,3.8,31,74,34,26,5,12.5,7,22.6,49,["Kostas Antetokounmpo"|"Daryl Macon"|"Dirk Nowitzki"|"Ray Spalding"|"Alex Abrines"|"Deonte Burton"|"Andre Roberson"],["Mark Ayotte"|"Scott Foster"|"C.J. Washington"],Dallas Mavericks,122,102
9,26,20,5.4,37,85,30,26,7,15.9,7,11.7,38,Dec 31 2018,Phoenix Suns,14,28,31,13.6,46,84,32,26,7,18.4,7,13.3,44,["DeMarcus Cousins"|"Jacob Evans"|"Damian Jones"|"Damion Lee"|"Jawun Evans"|"Richaun Holmes"|"George King"],["Brent Barnaky"|"Mousa Dagher"|"Tom Washington"],Golden State Warriors,109,132
14,26,27,7.4,45,91,18,16,8,20.5,6,10.0,43,Dec 31 2018,San Antonio Spurs,11,34,30,12.3,43,88,20,14,9,20.5,5,11.0,40,["Aron Baynes"|"Jabari Bird"|"PJ Dozier"|"Robert Williams"|"Chimezie Metu"|"Ben Moore"|"Dejounte Murray"|"Lonnie Walker"],["Marc Davis"|"Courtney Kirkland"|"Phenizee Ransom"],Boston Celtics,120,111
12,34,36,9.1,44,95,23,15,16,36.4,7,7.1,53,Jan 1 2019,Denver Nuggets,11,27,28,4.9,42,93,18,13,15,28.8,4,7.3,43,["Isaiah Hicks"|"Kristaps Porzingis"|"Mitchell Robinson"|"Will Barton"|"Michael Porter"|"Isaiah Thomas"|"Jarred Vanderbilt"|"Thomas Welsh"],["Tyler Ford"|"Tre Maddox"|"Ed Malloy"],New York Knicks,115,108
5,25,18,0.0,42,91,34,24,12,24.0,12,10.9,41,Jan 1 2019,Los Angeles Clippers,12,26,25,10.6,42,87,33,23,17,37.0,7,16.5,55,["Markelle Fultz"|"Shake Milton"|"Justin Patton"|"Zhaire Smith"|"Angel Delgado"|"Luc Mbah a Moute"|"Johnathan Motley"|"Jerome Robinson"],["Jacyn Goble"|"J.T. Orr"|"Josh Tiven"],Philadelphia 76ers,113,119
10,27,28,10.2,47,79,26,17,5,14.7,7,12.6,43,Jan 1 2019,Milwaukee Bucks,12,33,23,3.8,35,92,21,16,14,26.9,7,12.1,43,["Henry Ellenson"|"Keenan Evans"|"Zach Lofton"|"Ish Smith"|"Trevon Duval"|"Ersan Ilyasova"|"Jaylen Morris"|"Christian Wood"],["Karl Lane"|"Eric Lewis"|"Evan Scott"],Detroit Pistons,121,98
11,33,24,6.9,44,115,12,9,14,23.3,13,9.8,53,Jan 1 2019,Sacramento Kings,9,32,22,12.2,39,90,30,26,10,20.4,11,14.9,56,["Anfernee Simons"|"Caleb Swanigan"|"Marvin Bagley"|"Wenyen Gabriel"|"Zach Randolph"|"Troy Williams"],["Brent Barnaky"|"Mitchell Ervin"|"John Goble"],Portland Trail Blazers,108,113
7,20,18,9.2,45,82,35,25,5,13.9,4,8.5,45,Jan 1 2019,Toronto Raptors,9,32,23,6.5,42,97,29,23,12,23.1,6,3.5,43,["Grayson Allen"|"Tony Bradley"|"Tyler Cavanaugh"|"Naz Mitrou-Long"|"Kyle Lowry"|"Jordan Loyd"|"Jonas Valanciunas"],["Tony Brothers"|"Mark Lindsay"|"Scott Twardoski"],Utah Jazz,122,116
12,30,34,14.8,45,76,15,13,3,10.3,10,16.2,33,Jan 2 2019,Boston Celtics,7,23,24,4.3,40,84,21,15,8,21.1,7,13.1,34,["Robert Covington"|"Derrick Rose"|"Jeff Teague"|"C.J. Williams"|"Aron Baynes"|"Jabari Bird"|"Kyrie Irving"|"Robert Williams"],["Gediminas Petraitis"|"Jason Phillips"|"James Williams"],Minnesota Timberwolves,115,102
16,31,27,7.8,47,93,21,16,12,27.9,7,8.9,43,Jan 2 2019,Brooklyn Nets,10,23,19,8.1,46,87,27,19,10,24.4,7,10.8,41,["Trevon Bluiett"|"Andrew Harrison"|"Nikola Mirotic"|"Kenrich Williams"|"Allen Crabbe"|"Treveon Graham"|"Rondae Hollis-Jefferson"|"Caris LeVert"|"Dzanan Musa"],["James Capers"|"Kevin Cutler"|"Matt Myers"],New Orleans Pelicans,126,121
7,20,18,0.0,36,86,8,5,5,11.9,8,10.9,32,Jan 2 2019,Chicago Bulls,11,26,31,13.6,44,76,18,13,4,12.9,5,13.4,41,["Melvin Frazier"|"Amile Jefferson"|"Timofey Mozgov"|"Jonathon Simmons"|"Rawle Alkins"|"Bobby Portis"|"Brandon Sampson"|"Denzel Valentine"],["Mark Ayotte"|"Courtney Kirkland"|"Justin Van Duyne"],Orlando Magic,84,112
6,32,23,6.0,32,90,19,14,12,21.1,4,12.5,46,Jan 2 2019,Charlotte Hornets,18,45,31,6.9,44,95,18,16,12,26.1,9,8.9,57,["Kostas Antetokounmpo"|"Ryan Broekhoff"|"Daryl Macon"|"Ray Spalding"|"Joe Chealey"|"Jeremy Lamb"|"Cody Zeller"],["Curtis Blair"|"Kane Fitzgerald"|"Phenizee Ransom"],Dallas Mavericks,84,122
13,31,23,5.5,34,75,13,11,2,5.6,8,12.9,22,Jan 2 2019,Cleveland Cavaliers,16,31,29,6.8,44,86,17,13,13,39.4,8,12.2,47,["Goran Dragic"|"Yante Maten"|"Duncan Robinson"|"John Henson"|"Kevin Love"|"David Nwaba"|"J.R. Smith"|"Ante Zizic"],["Nick Buchert"|"Marc Davis"|"Kevin Scott"],Miami Heat,92,117
7,27,24,12.2,37,89,32,19,8,14.5,8,14.2,54,Jan 2 2019,Los Angeles Lakers,7,31,22,8.1,40,105,31,20,17,27.0,8,8.5,64,["Alex Abrines"|"Deonte Burton"|"Andre Roberson"|"Isaac Bonga"|"Alex Caruso"|"LeBron James"|"Rajon Rondo"|"Johnathan Williams"],["J.T. Orr"|"Josh Tiven"|"Tom Washington"],Oklahoma City Thunder,100,107
4,18,21,11.6,36,78,21,18,8,18.6,2,11.2,44,Jan 2 2019,Memphis Grizzlies,16,40,23,5.0,36,83,22,13,7,16.3,7,7.0,42,["Henry Ellenson"|"Keenan Evans"|"Zach Lofton"|"Ish Smith"|"Jevon Carter"|"Chandler Parsons"|"Jarnell Stokes"|"Yuta Watanabe"],["Derrick Collins"|"Pat Fraher"|"Marat Kogut"],Detroit Pistons,94,101
