age,guaranteed,name,signedUsing,team,y1,y2,y2option,y3,y3option,y4,y4option,y5,y5option,y6,y6option
35,$10954440,Nene Hilario,Non-Bird Rights,Houston Rockets,$3477600,$3651480,None,$3825360,None,,None,,None,,None
26,$3290000,Tarik Black,Bi-annual Exception,Houston Rockets,$3290000,,None,,None,,None,,None,,None
23,$2334520,Clint Capela,1st Round Pick,Houston Rockets,$2334520,,None,,None,,None,,None,,None
31,$2116955,Luc Mbah a Moute,Minimum Salary,Houston Rockets,$2116955,,None,,None,,None,,None,,None
21,$2857562,Chinanu Onuaku,Minimum Salary,Houston Rockets,$1312611,$1544951,None,,None,,None,,None,,None
32,$947248,Gerald Green,Minimum Salary,Houston Rockets,$947248,,None,,None,,None,,None,,None
22,$815615,Zhou Qi,MLE,Houston Rockets,$815615,$1378242,None,$1618520,None,$1752950,Team,,None,,None
36,,Joe Johnson,Minimum Salary,Houston Rockets,$749905,,None,,None,,None,,None,,None
30,,Brandan Wright,,Houston Rockets,,,None,,None,,None,,None,,None
26,TBD,Markel Brown,Two-Way Contract,Houston Rockets,TBD,,None,,None,,None,,None,,None
24,TBD,R.J. Hunter,Two-Way Contract,Houston Rockets,TBD,,None,,None,,None,,None,,None
33,,Bobby Brown,,Houston Rockets,$1524305,,None,,None,,None,,None,,None
23,$2085087,Troy Williams,,Houston Rockets,$1471382,$1544951,None,$1676735,None,,None,,None,,None
21,$300000,Cameron Oliver,,Houston Rockets,$300000,,None,,None,,None,,None,,None
23,$74159,Demetrius Jackson,,Houston Rockets,$74159,,None,,None,,None,,None,,None
26,$53465,Isaiah Canaan,,Houston Rockets,$53465,,None,,None,,None,,None,,None
25,$50000,Briante Weber,,Houston Rockets,$50000,,None,,None,,None,,None,,None
23,$50000,Demetrius Jackson,,Houston Rockets,$50000,,None,,None,,None,,None,,None
27,$25000,Chris Johnson,,Houston Rockets,$25000,,None,,None,,None,,None,,None
33,,Bobby Brown,,Houston Rockets,,,None,,None,,None,,None,,None
25,$84000000,Victor Oladipo,1st Round Pick,Indiana Pacers,$21000000,$21000000,None,$21000000,None,$21000000,None,,None,,None
29,$14796348,Thaddeus Young,Bird Rights,Indiana Pacers,$14796348,$13764045,Player,,None,,None,,None,,None
28,$12000000,Bojan Bogdanovic,Cap space,Indiana Pacers,$10500000,$10500000,None,,None,,None,,None,,None
30,$12000000,Darren Collison,Cap space,Indiana Pacers,$10000000,$10000000,None,,None,,None,,None,,None
33,$13769821,Al Jefferson,Cap Space,Indiana Pacers,$9769821,$10000000,None,,None,,None,,None,,None
26,$7630000,Cory Joseph,Cap Space,Indiana Pacers,$7630000,$7945000,Player,,None,,None,,None,,None
27,$4180000,Lance Stephenson,Cap space,Indiana Pacers,$4180000,$4360000,Team,,None,,None,,None,,None
21,$5980204,Myles Turner,1st round pick,Indiana Pacers,$2569920,$3410284,None,,None,,None,,None,,None
21,$5209800,Domantas Sabonis,1st Round pick,Indiana Pacers,$2550000,$2659800,Team,$3529555,Team,,None,,None,,None
20,$4435920,T.J. Leaf,1st Round Pick,Indiana Pacers,$2028360,$2407560,None,$2813280,Team,$4326825,Team,,None,,None
24,,Glenn Robinson,Minimum Salary,Indiana Pacers,$1524305,,None,,None,,None,,None,,None
25,$1471382,Joe Young,Cap Space,Indiana Pacers,$1471382,$1600520,Team,,None,,None,,None,,None
19,$1640000,Ike Anigbogu,Cap space,Indiana Pacers,$950000,$1378242,None,$1618520,None,,None,,None,,None
24,$778668,Alex Poythress,Two-Way Converted,Indiana Pacers,$778668,$1544951,None,,None,,None,,None,,None
30,,Trevor Booker,,Indiana Pacers,,,None,,None,,None,,None,,None
22,TBD,Ben Moore,Two-Way Contract,Indiana Pacers,TBD,,None,,None,,None,,None,,None
22,$50000,Edmond Sumner,Two-Way Contract,Indiana Pacers,TBD,,None,,None,,None,,None,,None
32,$11227000,Monta Ellis,,Indiana Pacers,$2245400,$2245400,None,$2245400,None,$2245400,None,$2245400,None,,None
