3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.254,41.3,1.3,8.4,1.6,20.7,3.0,.395,LeBron James,6.8,4.0,9.8,27.0,1.6,16.1,12.6,.619,30.0,7.3,12.9,.221
.311,29.7,0.8,2.5,-2.3,7.5,1.5,.231,Kyrie Irving,4.8,2.3,7.4,23.0,1.6,10.3,5.0,.580,30.8,2.9,8.9,.170
.007,4.6,2.9,1.5,1.5,19.6,2.3,.487,Tristan Thompson,0.0,13.9,5.0,15.3,0.8,10.8,16.9,.594,11.3,2.0,7.3,.149
.534,7.8,1.1,-1.3,0.0,9.9,1.4,.184,Iman Shumpert,-1.3,2.3,0.7,9.0,1.6,12.9,6.2,.536,14.0,0.3,2.0,.050
.449,9.8,0.9,0.8,-0.9,29.3,2.4,.340,Kevin Love,1.7,8.9,4.0,21.1,1.4,10.9,19.5,.573,26.4,1.3,6.4,.163
.542,6.6,0.5,-2.4,-1.0,11.6,0.8,.315,Richard Jefferson,-1.4,2.0,1.3,8.3,0.8,11.8,6.9,.574,12.2,-0.2,2.1,.063
.644,4.9,2.1,-0.6,-1.5,19.3,1.4,.142,Channing Frye,0.8,3.0,2.3,15.6,1.2,8.8,11.4,.612,19.3,0.5,3.7,.125
.761,7.3,0.7,-1.3,-0.7,8.6,0.8,.042,J.R. Smith,-0.5,1.6,0.1,8.1,1.7,6.7,5.2,.484,14.6,0.2,0.8,.034
.743,6.1,0.8,0.0,-2.2,11.2,0.4,.056,Kyle Korver,2.2,0.9,1.6,13.5,0.6,9.5,6.2,.677,15.8,0.4,2.0,.114
.331,9.5,1.5,-2.0,2.0,11.9,0.9,.272,DeAndre Liggins,-4.0,2.6,-0.5,7.2,3.0,21.6,7.4,.473,11.5,0.0,0.4,.025
.361,25.9,1.0,-4.5,-2.6,9.7,0.2,.170,Deron Williams,-1.9,0.2,0.4,11.4,0.6,20.2,5.1,.566,18.1,-0.3,0.6,.059
.486,4.7,0.4,-3.2,-2.1,13.5,0.2,.364,Derrick Williams,-1.1,0.8,0.6,11.1,0.6,10.1,7.4,.628,14.4,-0.1,0.8,.086
.139,22.7,1.5,-6.0,-1.2,10.5,0.4,.310,Kay Felder,-4.8,0.9,-0.3,11.4,2.3,14.3,5.9,.462,24.2,-0.4,0.1,.008
.340,7.4,1.3,-6.5,-2.8,9.7,0.2,.227,Jordan McRae,-3.7,1.8,-0.1,9.7,1.0,7.8,5.9,.488,20.8,-0.4,0.2,.020
.717,5.2,2.1,-1.6,-1.6,9.5,0.2,.217,James Jones,0.0,0.9,0.6,11.1,0.8,9.0,5.4,.655,13.0,0.0,0.8,.102
.633,7.5,0.4,-3.7,-1.7,12.3,0.2,.211,Mike Dunleavy,-2.1,1.6,0.1,7.6,0.8,12.5,7.1,.539,13.7,-0.2,0.3,.041
.136,5.9,5.0,-0.9,3.0,20.6,0.2,.636,Chris Andersen,-3.8,9.0,0.1,11.6,2.2,15.1,15.0,.497,13.0,0.0,0.2,.102
.000,6.0,20.2,7.0,10.1,26.7,0.1,.250,Edy Tavares,-3.1,19.0,0.0,22.6,0.0,31.1,23.0,.676,12.0,0.1,0.1,.183
.000,0.0,6.2,-9.6,-0.9,8.2,0.0,.500,Larry Sanders,-8.7,26.3,0.0,6.5,3.8,29.1,17.0,.410,23.6,0.0,0.0,-0.029
.250,14.5,0.0,-10.9,-7.1,8.9,0.0,.500,Dahntay Jones,-3.8,9.5,0.0,14.7,0.0,9.3,9.2,.461,39.9,0.0,0.0,-0.030
,0.0,0.0,-5.7,0.0,0.0,0.0,,Andrew Bogut,-5.7,0.0,0.0,-35.3,0.0,,0.0,,0.0,0.0,0.0,.020
.173,7.7,0.5,-1.9,-1.2,13.1,2.1,.220,Harrison Barnes,-0.7,3.7,2.5,16.3,1.2,6.8,8.2,.541,25.3,0.1,4.6,.078
.566,13.6,0.5,0.1,-0.1,11.8,2.1,.211,Wesley Matthews,0.2,0.8,1.0,11.9,1.6,9.9,6.0,.533,19.4,1.3,3.1,.060
.458,16.0,0.3,1.4,-0.4,9.3,1.7,.142,Seth Curry,1.8,1.4,2.9,15.5,2.0,11.0,5.1,.601,19.5,1.7,4.6,.110
.574,6.0,1.4,-1.4,1.3,12.4,1.5,.183,Dorian Finney-Smith,-2.8,3.7,-0.1,7.7,1.6,11.1,7.9,.486,11.6,0.2,1.4,.041
.308,10.6,2.4,-1.3,0.3,28.3,1.9,.165,Dirk Nowitzki,-1.6,1.8,0.6,17.0,1.1,6.6,14.4,.529,25.8,0.2,2.5,.084
.196,6.1,2.6,1.4,1.9,19.5,1.9,.374,Dwight Powell,-0.5,7.7,2.7,17.6,2.4,7.2,13.3,.588,16.7,1.2,4.6,.165
.400,40.1,0.2,-1.4,-2.4,9.3,0.7,.185,Deron Williams,1.0,1.2,1.1,15.0,1.1,16.7,5.1,.533,23.7,0.2,1.8,.073
.519,20.0,0.6,-0.4,-0.3,13.0,1.1,.378,Devin Harris,-0.1,1.1,1.1,13.8,2.1,12.5,6.8,.549,19.7,0.4,2.2,.096
.432,24.1,0.6,0.2,-0.3,9.7,0.9,.212,Yogi Ferrell,0.5,1.7,1.0,14.1,2.0,12.9,5.5,.541,19.5,0.6,2.0,.090
.022,2.4,6.1,0.2,3.8,28.4,1.7,.445,Salah Mejri,-3.6,11.9,1.3,14.8,1.8,19.6,19.8,.650,10.6,0.5,3.0,.159
.431,44.2,0.1,-0.5,-2.6,11.9,0.5,.149,J.J. Barea,2.0,1.3,0.8,17.2,0.9,14.7,6.3,.521,26.2,0.3,1.3,.080
.440,7.6,2.0,-2.0,-0.1,18.9,0.9,.318,Justin Anderson,-1.8,6.1,0.1,14.7,2.1,11.2,12.2,.521,23.6,0.0,1.0,.067
.012,12.3,3.9,-0.3,5.3,34.0,1.0,.136,Andrew Bogut,-5.6,10.7,-0.3,9.4,1.2,33.4,21.7,.460,10.4,0.3,0.7,.055
.674,13.9,1.4,-1.0,0.7,16.2,0.6,.156,Nicolas Brussino,-1.7,5.5,0.0,10.7,1.7,14.7,10.6,.498,16.0,0.1,0.6,.055
.000,7.0,4.5,2.5,3.8,26.0,0.9,.358,Nerlens Noel,-1.3,10.8,0.9,19.8,2.4,12.4,18.0,.606,17.3,0.5,1.8,.178
.474,18.8,0.0,-5.5,-2.2,11.1,0.2,.305,Jonathan Gibson,-3.3,0.5,-0.3,9.5,1.8,16.3,5.5,.492,26.3,-0.2,-0.1,-0.030
.238,3.8,7.2,-5.6,2.0,21.0,0.2,.476,A.J. Hammons,-7.5,5.4,-0.2,8.4,0.3,16.4,12.8,.472,17.6,-0.1,0.0,-0.001
.237,12.8,3.1,-1.4,0.7,14.9,0.1,.184,Jarrod Uthoff,-2.1,7.7,0.1,13.9,0.9,6.8,11.1,.487,18.1,0.0,0.2,.083
.282,38.0,0.0,-4.4,-2.7,11.6,0.1,.179,Pierre Jackson,-1.7,1.3,0.0,13.0,1.2,6.7,6.2,.416,25.3,-0.1,0.0,.021
.560,25.7,0.0,-8.7,-4.5,4.8,0.0,.080,Quinn Cook,-4.2,0.0,-0.1,6.9,0.7,23.6,2.3,.522,20.7,-0.1,-0.1,-0.046
.412,0.0,0.0,-16.2,-6.0,15.2,0.0,.176,Quincy Acy,-10.1,4.6,-0.2,-1.4,0.0,9.8,9.7,.355,20.0,-0.2,-0.1,-0.133
.167,0.0,0.0,-3.9,-2.0,19.5,0.0,.500,DeAndre Liggins,-1.9,13.3,0.1,17.6,4.2,0.0,16.3,.546,13.8,0.0,0.1,.194
.133,12.7,0.0,-18.8,-3.8,29.3,0.0,.267,Manny Harris,-15.1,13.3,-0.2,-2.2,0.0,10.7,20.9,.239,35.4,-0.1,-0.2,-0.364
.333,0.0,0.0,-26.9,-4.5,24.4,0.0,.000,Ben Bentil,-22.4,0.0,-0.1,-17.6,0.0,25.0,11.6,.000,18.9,-0.1,-0.1,-0.473
.347,9.8,1.1,-0.9,-1.4,17.8,1.1,.207,Wilson Chandler,0.5,5.2,2.4,14.9,1.1,10.0,11.6,.545,22.0,0.6,3.5,.077
.432,9.1,0.5,0.8,-2.1,14.7,0.7,.516,Danilo Gallinari,2.9,2.0,6.2,17.4,0.9,8.2,8.4,.622,20.0,1.5,6.8,.154
.452,26.0,0.3,-2.0,-2.3,8.8,0.5,.104,Jameer Nelson,0.4,1.5,2.3,11.5,1.3,16.8,5.2,.544,15.8,0.0,2.8,.066
.163,28.8,2.1,8.4,2.2,27.2,2.0,.267,Nikola Jokic,6.2,11.6,7.7,26.3,1.5,15.2,19.5,.640,23.5,5.3,9.7,.228
.400,13.6,0.3,1.5,-1.6,8.0,0.7,.210,Gary Harris,3.1,3.0,3.9,16.5,1.9,9.8,5.5,.611,18.4,1.6,4.6,.124
.471,14.0,1.1,-2.6,-2.1,10.7,0.7,.164,Jamal Murray,-0.5,2.6,0.6,11.9,1.4,12.6,6.7,.518,21.6,-0.3,1.3,.037
.353,17.7,1.3,0.3,-1.0,12.9,0.8,.285,Will Barton,1.3,3.8,2.5,15.5,1.4,11.5,8.4,.547,21.1,1.0,3.3,.093
.323,21.8,0.7,-3.7,-1.7,11.6,0.5,.303,Emmanuel Mudiay,-2.0,2.3,-0.4,10.9,1.4,16.5,7.0,.483,22.6,-0.6,0.2,.006
.014,6.3,2.4,0.8,-0.1,23.6,1.2,.454,Kenneth Faried,0.9,15.8,3.3,20.3,1.6,10.6,19.7,.588,18.3,0.9,4.5,.168
.504,4.7,1.1,-1.3,-1.2,18.7,0.6,.339,Juan Hernangomez,-0.1,5.7,1.2,13.4,1.7,10.7,12.3,.592,14.6,0.1,1.8,.104
.000,11.1,3.5,-2.3,1.0,23.2,0.8,.379,Jusuf Nurkic,-3.2,12.3,-0.2,15.0,1.5,18.9,17.8,.515,22.6,-0.1,0.6,.034
.544,9.3,2.5,-0.3,-0.6,14.9,0.4,.102,Darrell Arthur,0.3,4.4,0.6,12.8,1.5,13.8,9.7,.583,17.3,0.3,1.1,.081
.006,15.9,3.6,1.5,2.2,21.3,0.6,.420,Mason Plumlee,-0.7,8.8,0.8,16.3,1.5,17.7,15.1,.571,17.5,0.6,1.4,.107
.384,10.2,0.0,-3.9,-3.5,8.0,0.1,.137,Malik Beasley,-0.5,3.4,0.1,13.7,2.1,9.4,5.7,.536,22.0,-0.1,0.2,.057
.870,18.3,0.0,-4.1,-0.8,26.1,0.1,.087,Mike Miller,-3.2,1.5,0.0,7.6,0.6,35.2,13.9,.586,10.4,-0.1,0.1,.018
.214,8.2,0.9,-4.6,1.0,13.5,0.1,.643,Alonzo Gee,-5.6,5.0,-0.1,3.1,2.7,18.2,9.3,.306,10.5,-0.1,-0.1,-0.032
